,Unnamed: 0,地区,经度,纬度
0,0,湖南省湘潭市,112.95046418076468,27.835702227135585
1,6,河南省南阳地区,112.53450131351325,32.99656220465144
2,7,湖南省衡阳市,112.57844721325992,26.899576139189122
3,33,湖南省娄底地区,112.00150349288418,27.703208596991583
4,37,湖南省郴州地区,113.02146049909462,25.776683273601865
5,42,湖北省襄樊市,114.34844073658718,30.551600064658352
6,59,广西桂林市,110.18619487315159,25.24169878354397
7,60,陕西省咸阳市,108.71542245143303,34.335476293368586
8,61,江苏省南京市,118.80242172124585,32.06465288561847
9,62,湖南省邵阳市,111.474432885931,27.245270272808565
10,65,广西桂林地区,110.18619487315159,25.24169878354397
11,91,湖南省大庸市,112.98960254334654,28.118269998009367
12,92,湖南省长沙市,112.94547319535287,28.23488939994364
13,100,广西防城港市,108.360418838298,21.6930052899694
14,102,湖南省岳阳市,113.13548942422142,29.3631782939259
15,115,陕西省汉中地区,107.02943020926463,33.073799907833795
16,123,湖北省荆门市,112.20639298023002,31.041732575569622
17,131,湖南省株洲市,113.14047079776427,27.833567639016444
18,132,江西省萍乡市,113.89369655407103,27.664752547951164
19,154,江西省宜春地区,115.91542320365122,28.68169051676075
20,160,湖南省湘西土家族苗族自治州,109.74557664946683,28.317369104701186
21,163,湖北省孝感市,113.96346265773938,30.924526261070227
22,174,湖北省武汉市,114.31158155473231,30.598466736400987
23,178,湖南省常德市,111.70545217995837,29.037749999406877
24,188,广西梧州地区,111.28551681182014,23.48274528113516
25,189,广东省梅州市,116.12953737612247,24.294177532206206
26,192,安徽省六安地区,117.3305404177196,31.73429415631746
27,218,湖南省怀化地区,110.00851426537254,27.575160902978517
28,220,贵州省黔东南苗族侗族自治州,107.9894462407788,26.58970296982603
29,232,广西河池地区,108.09149994498661,24.698911731272894
30,246,湖南省益阳地区,112.36151595471031,28.559711178489888
31,328,山西省阳泉市,113.58761666287546,37.862360847859385
32,330,安徽省巢湖地区,117.89557620044565,31.629002428816317
33,331,安徽省安庆市,117.06360390491879,30.53095656804304
34,332,江苏省扬州市,119.41941890822997,32.40067693609037
35,339,安徽省池州地区,117.49842096159624,30.670883790764535
36,350,吉林省松原市,124.83148187569292,45.14740419341382
37,368,湖北省黄石市,115.04553290894361,30.205207848941598
38,370,河北省沧洲市,116.7421971104011,38.24569687459607
39,378,广东省湛江市,110.36555441392824,21.276723439012073
40,381,河南省周口地区,114.7079826661061,33.643083575264406
41,387,贵州省遵义地区,106.71447593088575,26.604029544994923
42,389,陕西省宝鸡市,107.2445753670404,34.36891564286998
43,471,广东省茂名市,110.931542579969,21.669064031332095
44,473,江苏省淮阴市,119.0414217411613,33.63815042476756
45,474,安徽省滁州市,118.33940613596579,32.26127087204081
46,477,浙江省杭州市,120.21551180372168,30.25308298169347
47,478,山东省潍坊市,119.16837791142822,36.71265155126753
48,480,四川省万县市,104.07346654728391,30.577543147015334
49,485,河北省石家庄市,114.52153190157445,38.0483119268727
50,489,河南省许昌市,113.85847553685502,34.04143161161871
51,491,广东省东莞市,113.75842045787648,23.02730841164339
52,519,天津市市辖区,117.2080927529767,39.09110259843554
53,531,江西省吉安地区,115.91542320365122,28.68169051676075
54,533,广东省肇庆市,112.47148894063035,23.052888771125616
55,544,湖南省零陵地区,111.63750237493397,26.227682089778906
56,605,四川省重庆市,106.55843415537664,29.568996245338923
57,607,河北省邢台市,114.51146225612979,37.07668595096609
58,610,河北省保定地区,114.53659630531568,38.04320164520046
59,620,贵州省毕节地区,105.2985887950112,27.29021508342595
60,622,湖北省荆州地区,112.24552262926137,30.340842107742912
61,634,广东省韶关市,113.60352734562261,24.815881278583017
62,637,山西省运城地区,111.01338945447925,35.03270691290923
63,652,山东省济宁市,116.59361234853988,35.420177394529645
64,714,河南省洛阳市,112.4594212983115,34.62426277921943
65,721,新疆哈密地区,93.52121554028504,42.82582436811265
66,722,四川省绵阳市,104.6855618607612,31.473663048745863
67,723,西藏自治区西藏拉萨市,91.17845425628477,29.65948787983075
68,725,新疆省直辖行政单位,116.37749100216642,39.88624710609514
69,726,新疆乌鲁木齐市,87.62443993536046,43.830763204290484
70,755,河北省承德市,117.96939750996681,40.95785601233803
71,756,甘肃省定西地区,104.63242008306302,35.586832926561875
72,781,河南省漯河市,114.02342077764726,33.5877107071022
73,783,云南省怒江傈僳族自治州,98.8632883813579,25.823707417657754
74,825,河南省信阳地区,114.09748283304512,32.15301454753105
75,888,江西省抚州地区,116.36453876864373,27.954892253419565
76,917,湖北省恩施土家族苗族自治州,109.4865502690053,30.30103714374126
77,1020,江苏省徐州市,117.29057543439453,34.21266655011306
78,1037,贵州省六盘水市,104.8375546023468,26.598833108257494
79,1073,贵州省贵阳市,106.63657676352776,26.653324822309752
80,1086,江西省南昌市,115.86458944231661,28.68945529506072
81,1126,广东省广州市,113.27143134445974,23.135336306695006
82,1135,山西省晋中地区,112.56937550968271,37.87982942385603
83,1153,湖北省宜昌市,111.29254921035434,30.697446484492378
84,1194,云南省昭通地区,102.71641607523223,25.051562267344867
85,1205,河南省驻马店地区,114.02847078173271,33.01784241674367
86,1230,江西省景德镇市,117.18457644638579,29.274247711040953
87,1269,江西省新余市,114.9235346513963,27.823578697788587
88,1316,江西省上饶地区,117.94945960312224,28.460625921851733
89,1333,河南省开封市,114.31459258497121,34.80288581121172
90,1338,广东省深圳市,114.06455183658751,22.548456637984177
91,1339,江西省九江市,115.96066124030492,29.666660847999456
92,1342,广东省揭阳市,116.37851218033846,23.555740488275585
93,1344,山西省太原市,112.55639149167204,37.87698902884778
